"","AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
"-Terry Puhl",172,42,3,17,14,15,10,4086,1150,57,579,363,406,0,1,65,0,0,900,0
"-Bob Dernier",324,73,4,32,18,22,7,1931,491,13,291,108,180,0,0,222,3,3,708.333,0
"-Vance Law",360,81,5,37,44,37,7,2268,566,41,279,257,246,0,0,170,284,3,525,0
"-Tom Paciorek",213,61,4,17,22,3,17,4061,1145,83,488,491,244,1,1,178,45,4,235,1
"-Rick Manning",205,52,8,31,27,17,12,5134,1323,56,643,445,459,1,0,155,3,2,400,1
"-Bob Kearney",204,49,6,23,25,12,7,1309,308,27,126,132,66,1,1,419,46,5,300,1
"-Kent Hrbek",550,147,29,85,91,71,6,2816,815,117,405,474,319,1,1,1218,104,10,1310,1
"-Leon Durham",484,127,20,66,65,67,7,3006,844,116,436,458,377,0,0,1231,80,7,1183.333,0
"-Tom Foley",263,70,1,26,23,30,4,888,220,9,83,82,86,0,0,81,147,4,250,0
"-John Cangelosi",438,103,2,65,32,71,2,440,103,2,67,32,71,1,1,276,7,9,100,0
"-Curt Wilkerson",236,56,0,27,15,11,4,1115,270,1,116,64,57,1,1,125,199,13,230,1
"-Tony Pena",510,147,10,56,52,53,7,2872,821,63,307,340,174,0,0,810,99,18,1150,0
"-Ruben Sierra",382,101,16,50,55,22,1,382,101,16,50,55,22,1,1,200,7,6,97.5,1
"-Kurt Stillwell",279,64,0,31,26,30,1,279,64,0,31,26,30,0,1,107,205,16,75,0
"-Bob Melvin",268,60,5,24,25,15,2,350,78,5,34,29,18,0,1,442,59,6,90,0
"-Hal McRae",278,70,7,22,37,18,18,7186,2081,190,935,1088,643,1,1,0,0,0,325,1
"-Keith Moreland",586,159,12,72,79,53,9,3082,880,83,363,477,295,0,0,181,13,4,1043.333,0
"-Denny Walling",382,119,13,54,58,36,12,2133,594,41,287,294,227,0,1,59,156,9,595,0
"-Tom Brookens",281,76,3,42,25,20,8,2658,657,48,324,300,179,1,0,106,144,7,341.667,1
"-Greg Brock",325,76,16,33,52,37,5,1506,351,71,195,219,214,0,1,726,87,3,385,1
"-Jack Howell",151,41,4,26,21,19,2,288,68,9,45,39,35,1,1,28,56,2,95,1
"-Garth Iorg",327,85,3,30,44,20,8,2140,568,16,216,208,93,1,0,91,185,12,362.5,1
"-Pat Sheridan",236,56,6,41,19,21,5,1257,329,24,166,125,105,1,0,172,1,4,190,1
"-Juan Beniquez",343,103,6,48,36,40,15,4338,1193,70,581,421,325,1,0,211,56,13,430,1
"-Dwayne Murphy",329,83,9,50,39,56,9,3828,948,145,575,528,635,1,1,276,6,2,600,1
"-Ron Cey",256,70,13,42,36,44,16,7058,1845,312,965,1128,990,0,0,41,118,8,1050,1
"-Donnie Hill",339,96,4,37,29,23,4,1064,290,11,123,108,55,1,1,104,213,9,275,1
"-Daryl Boston",199,53,5,29,22,21,3,514,120,8,57,40,39,1,1,152,3,5,75,1
"-Tim Wallach",480,112,18,50,71,44,7,3031,771,110,338,406,239,0,0,94,270,16,750,0
"-Kirk Gibson",441,118,28,84,86,68,8,2723,750,126,433,420,309,1,0,190,2,2,1300,1
"-Willie Upshaw",573,144,9,85,60,78,8,3198,857,97,470,420,332,1,0,1314,131,12,960,1
"-Carmelo Martinez",244,58,9,28,25,35,4,1335,333,49,164,179,194,0,1,142,14,2,340,0
"-Brian Downing",513,137,20,90,95,90,14,5201,1382,166,763,734,784,1,1,267,5,3,900,1
"-Kevin McReynolds",560,161,26,89,96,66,4,1789,470,65,233,260,155,0,1,332,9,8,625,0
"-Rick Cerone",216,56,4,22,18,15,12,2796,665,43,266,304,198,1,0,391,44,4,250,1
"-Larry Herndon",283,70,8,33,37,27,12,4479,1222,94,557,483,307,1,0,156,2,2,225,1
"-Mookie Wilson",381,110,9,61,45,32,7,3015,834,40,451,249,168,0,0,228,7,5,800,0
"-Steve Buechele",461,112,18,54,54,35,2,680,160,24,76,75,49,1,1,111,226,11,135,1
"-Robin Yount",522,163,9,82,46,62,13,7037,2019,153,1043,827,535,1,0,352,9,1,1000,1
"-Ron Kittle",376,82,21,42,60,35,5,1770,408,115,238,299,157,1,1,0,0,0,425,1
"-Ozzie Guillen",547,137,2,58,47,12,2,1038,271,3,129,80,24,1,1,261,459,22,175,1
"-Sid Bream",522,140,16,73,77,60,4,730,185,22,93,106,86,0,0,1320,166,17,200,0
"-Mike LaValliere",303,71,3,18,30,36,3,344,76,3,20,36,45,0,0,468,47,6,100,0
"-Alan Ashby",315,81,7,24,38,39,14,3449,835,69,321,414,375,0,1,632,43,10,475,0
"-Tommy Herr",559,141,2,48,61,73,8,3162,874,16,421,349,359,0,0,352,414,9,925,0
"-Ed Romero",233,49,2,41,23,18,8,1350,336,7,166,122,106,1,0,102,132,10,375,1
"-Ron Roenicke",275,68,5,42,42,61,6,961,238,16,128,104,172,0,0,181,3,2,191,0
"-Terry Pendleton",578,138,1,56,59,34,3,1399,357,7,149,161,87,0,0,133,371,20,160,0
"-Brook Jacoby",583,168,17,83,80,56,5,1646,452,44,219,208,136,1,0,109,292,25,612.5,1
"-Jim Gantner",497,136,7,58,38,26,11,3871,1066,40,450,367,241,1,0,304,347,10,850,1
"-Will Clark",408,117,11,66,41,34,1,408,117,11,66,41,34,0,1,942,72,11,120,0
"-Davey Lopes",255,70,7,49,35,43,15,6311,1661,154,1019,608,820,0,0,51,54,8,450,0
"-Jody Davis",528,132,21,61,74,41,6,2641,671,97,273,383,226,0,0,885,105,8,1008.333,0
"-Gary Gaetti",596,171,34,91,108,52,6,2862,728,107,361,401,224,1,1,118,334,21,900,1
"-Dale Sveum",317,78,7,35,35,32,1,317,78,7,35,35,32,1,0,45,122,26,70,1
"-Scott Fletcher",530,159,3,82,50,47,6,1619,426,11,218,149,163,1,1,196,354,15,475,1
"-Harold Baines",570,169,21,72,88,38,7,3754,1077,140,492,589,263,1,1,295,15,5,950,1
"-Mike Schmidt",20,1,0,0,0,0,2,41,9,2,6,7,4,0,0,78,220,6,2127.333,0
"-Tony Fernandez",687,213,10,91,65,27,4,1518,448,15,196,137,89,1,0,294,445,13,350,1
"-Dave Anderson",216,53,1,31,15,22,4,926,210,9,118,69,114,0,1,73,152,11,225,0
"-Wade Boggs",580,207,8,107,71,105,5,2778,978,32,474,322,417,1,0,121,267,19,1600,1
"-Mike Scioscia",374,94,5,36,26,62,7,1968,519,26,181,199,288,0,1,756,64,15,875,0
"-Randy Bush",357,96,7,50,45,39,5,1394,344,43,178,192,136,1,1,167,2,4,300,1
"-Don Baylor",585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,1,0,0,0,0,950,1
"-Joel Youngblood",184,47,5,20,28,18,11,3327,890,74,419,382,304,0,1,49,2,0,450,0
"-Terry Harper",265,68,8,26,30,29,7,1337,339,32,135,163,128,0,1,92,5,3,425,1
"-Tim Flannery",368,103,3,48,28,54,8,1897,493,9,207,162,198,0,1,209,246,3,326.667,0
"-Steve Sax",633,210,6,91,56,59,6,3070,872,19,420,230,274,0,1,367,432,16,90,0
"-Willie Wilson",631,170,9,77,44,31,11,4908,1457,30,775,357,249,1,1,408,4,3,1000,1
