"","Private","Apps","Accept","Enroll","Top10perc","Top25perc","F.Undergrad","P.Undergrad","Outstate","Room.Board","Books","Personal","PhD","Terminal","S.F.Ratio","perc.alumni","Expend","Grad.Rate"
"University of Rhode Island",0,9643,7751,1968,12,40,8894,2456,10330,5558,500,1250,84,89,16.6,7,9158,63
"Piedmont College",1,663,562,127,20,40,641,63,5640,3620,600,750,89,89,13.2,17,7309,31
"Western State College of Colorado",0,2702,1623,604,7,24,2315,146,5918,3755,500,2050,76,79,19.4,4,4599,52
"University of Dubuque",1,576,558,137,11,39,662,131,10430,3620,400,1500,85,98,16.5,18,8767,45
"University of Texas at San Antonio",0,4217,3100,1686,17,46,9375,5457,4104,5376,452,1200,94,100,25.3,3,4329,50
"Eastern Illinois University",0,5597,4253,1565,12,38,9161,845,5710,3066,120,1730,62,71,16.2,5,5682,76
"Simmons College",1,1003,782,295,23,53,1144,160,16160,6950,500,1200,74,81,8.9,33,14086,79
"Northeastern University",1,11901,8492,2517,16,42,11160,10221,13380,7425,600,1750,73,82,12.9,17,9563,46
"Loyola Marymount University",1,3768,2662,753,42,64,3558,436,13592,5916,545,1328,84,88,14.2,10,11677,84
"University of Wisconsin at Madison",0,14901,10932,4631,36,80,23945,2200,9096,4290,535,1545,93,96,11.5,20,11006,72
"University of Central Florida",0,6986,2959,1918,25,60,12330,7152,6618,4234,700,1600,80,98,22.2,9,6742,46
"Lynchburg College",1,1756,1500,366,3,21,1524,280,12450,5400,450,870,62,66,12.4,24,8832,70
"Morningside College",1,586,533,239,16,36,950,228,10520,3678,500,1000,48,68,13,32,8111,56
"Dickinson State University",0,434,412,319,10,30,1376,237,4486,2146,600,2000,50,64,16.5,28,4525,46
"Missouri Southern State College",0,1576,1326,913,13,50,3689,2200,3840,2852,200,400,52,54,20.3,9,4172,100
"Bethel College",1,502,384,104,11,28,347,74,6200,2900,600,800,63,63,11.7,13,7623,35
"Mississippi State University",0,4255,3277,1609,18,57,10094,1621,9866,3084,480,1479,77,77,15.9,20,6223,53
"Columbia College MO",1,314,158,132,10,28,690,5346,8294,3700,400,900,87,87,15.3,2,5015,37
"St. Lawrence University",1,2753,1820,505,31,56,1801,45,18720,5730,650,825,90,94,11.5,38,14980,85
"Amherst College",1,4302,992,418,83,96,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100
"Pennsylvania State Univ. Main Campus",0,19315,10344,3450,48,93,28938,2025,10645,4060,512,2394,77,96,18.1,19,8992,63
"Gustavus Adolphus College",1,1709,1385,634,36,72,2281,50,14125,3600,400,700,79,89,12.5,58,9907,80
"Trenton State College",0,5042,2312,944,55,94,5167,902,5391,5411,700,1000,81,87,14.4,6,8504,81
"College of Mount St. Joseph",1,798,620,238,14,41,1165,1232,9800,4430,400,1150,46,46,11.1,35,6889,100
"California Polytechnic-San Luis",0,7811,3817,1650,47,73,12911,1404,7380,4877,612,2091,72,81,19.8,13,8453,59
"California Lutheran University",1,563,247,247,23,52,1427,432,12950,5300,612,576,72,74,12.4,17,8985,60
"Notre Dame College",1,379,324,107,15,37,500,311,9990,4900,400,600,44,47,12.1,26,4948,33
"MidAmerica Nazarene College",1,331,331,225,15,36,1100,166,6840,3720,1100,4913,33,33,15.4,20,5524,49
"University of Pittsburgh-Main Campus",0,8586,6383,2503,25,59,13138,4289,10786,4560,400,900,93,93,7.8,10,13789,66
"Ohio Wesleyan University",1,2190,1700,458,36,65,1780,48,16732,5650,550,550,93,93,12.1,32,12011,75
"Rhodes College",1,2302,1831,391,58,82,1345,59,15200,4768,550,1500,90,96,10.8,47,13388,77
"Aquinas College",1,619,516,219,20,51,1251,767,11208,4124,350,1615,55,65,12.7,25,6584,65
"Southwestern College",1,213,155,75,28,66,504,147,7200,3532,550,1500,56,56,11.8,12,7818,52
"National-Louis University",1,513,347,279,23,48,2508,505,9090,4500,650,500,62,65,18.3,2,7905,71
"Sarah Lawrence College",1,1380,768,263,57,82,1000,105,19300,6694,600,700,89,93,6.1,18,14779,83
"Evergreen State College",0,1801,1101,438,14,50,3065,363,6297,4600,600,1323,75,78,18.1,14,8355,68
"Rensselaer Polytechnic Institute",1,4996,4165,936,53,82,4291,16,17475,5976,1230,1100,94,98,15.4,21,15605,70
"Georgetown College",1,727,693,286,30,55,1063,48,8100,3950,550,550,73,76,13.3,28,7508,55
"University of Dayton",1,6361,5293,1507,26,51,5889,665,11380,4220,500,900,81,85,14.8,25,8894,93
"Converse College",1,440,407,149,35,70,643,80,12050,3700,500,900,63,76,10.2,31,10965,75
"Mary Washington College",0,4350,2178,756,39,78,2997,736,6490,4942,650,2102,75,80,17.6,30,5358,84
"Texas A&M University at Galveston",0,529,481,243,22,47,1206,134,4860,3122,600,650,103,88,17.4,16,6415,43
"Ohio Northern University",1,2936,2342,669,35,62,2502,66,15990,4080,600,825,73,78,14.5,31,9979,83
"Indiana University at Bloomington",0,16587,13243,5873,25,72,24763,2717,9766,3990,600,2000,77,88,21.3,24,8686,68
"Kenyon College",1,2212,1538,408,44,75,1445,1,19240,3690,750,480,95,95,11.1,46,14067,88
"Freed-Hardeman University",1,895,548,314,20,54,1174,50,5500,3340,600,1600,68,76,16.1,13,6078,62
"Nazareth College of Rochester",1,947,798,266,36,68,1274,471,10850,5150,550,800,77,93,13.6,24,8797,61
"University of Missouri at Saint Louis",0,1618,1141,479,18,54,4793,4552,7246,3964,500,4288,71,73,13.4,15,6433,48
"University of Portland",1,1758,1485,419,27,58,2041,174,12040,4100,600,1100,92,96,13.2,17,9060,72
"Carthage College",1,1616,1427,434,20,43,1405,580,13125,3775,500,1300,74,89,15.9,22,7364,62
"Georgian Court College",1,348,281,127,12,52,1095,785,9150,3950,500,800,56,59,12.2,27,7348,76
"Emory & Henry College",1,765,646,226,30,60,809,32,8578,4408,700,1600,79,88,13.9,51,8061,82
"University of North Carolina at Greensboro",0,5191,4134,1500,15,44,7532,1847,8677,3505,600,1300,75,94,15.5,17,7392,53
"Arkansas College (Lyon College)",1,708,334,166,46,74,530,182,8644,3922,500,800,79,88,12.6,24,14579,54
"Butler University",1,2362,2037,700,40,68,2607,148,13130,4650,500,1600,77,81,10.9,29,9511,83
"Samford University",1,1680,1395,691,34,76,2959,402,8236,3700,569,1650,74,75,14.7,17,9533,61
"Wheaton College IL",1,1432,920,548,56,84,2200,56,11480,4200,530,1400,81,83,12.7,40,11916,85
"Abilene Christian University",1,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60
"Philadelphia Coll. of Textiles and Sci.",1,1538,1259,468,19,42,1664,1042,11690,5062,600,1664,48,80,12.9,15,8028,68
"Pacific Lutheran University",1,1603,1392,504,31,68,2580,302,13312,4488,600,1516,78,78,11,23,9431,83
"Saint Mary's College of Minnesota",1,876,802,367,14,35,1263,118,10800,3600,400,820,68,74,18.8,19,5081,78
"William Woods University",1,469,435,227,17,39,851,120,10535,4365,550,3700,39,66,12.9,16,7438,52
"Pacific Union College",1,940,668,385,20,48,1316,139,11925,3825,630,1926,48,87,12.3,12,9157,69
"Wells College",1,318,240,130,40,85,416,19,14900,5550,600,500,93,98,8.3,42,13935,69
"William Jewell College",1,663,547,315,32,67,1279,75,10060,2970,500,2600,74,80,11.2,19,7885,59
"Wilkes University",1,1631,1431,434,15,36,1803,603,11150,5130,550,1260,78,92,13.3,24,8543,67
"Salem College",1,335,284,132,28,69,534,216,10475,6300,500,2000,68,68,11.2,46,9599,60
"University of California at Berkeley",0,19873,8252,3215,95,100,19532,2061,11648,6246,636,1933,93,97,15.8,10,13919,78
"Baker University",1,602,483,206,21,47,958,466,8620,4100,400,2250,58,68,11,21,6136,65
"Texas Christian University",1,4095,3079,1195,33,64,5064,660,8490,3320,650,2400,81,93,14.8,23,9158,64
"Thiel College",1,1154,951,253,15,31,791,140,11172,4958,700,1350,68,76,11.6,16,9186,60
"Tri-State University",1,1262,1102,276,14,40,978,98,9456,4350,468,1323,53,53,12.8,24,7603,65
"Earlham College",1,1358,1006,274,35,63,1028,13,15036,4056,600,600,90,94,10.6,46,14634,78
"Augsburg College",1,662,513,257,12,30,2074,726,11902,4372,540,950,65,65,12.8,31,7836,58
"New York University",1,13594,7244,2505,70,86,12408,2814,17748,7262,450,1000,87,98,7.8,16,21227,71
"SUNY at Buffalo",0,15039,9649,3087,36,100,13963,3124,6550,4731,708,957,90,97,13.6,15,11177,56
"Flagler College",1,1415,714,338,18,52,1345,44,5120,3200,500,2140,52,60,18.1,9,3930,69
"North Adams State College",0,1563,1005,240,1,19,1380,136,5542,4330,500,1000,65,71,14.2,17,6562,57
"Southwestern University",1,1244,912,352,44,77,1177,43,11850,4675,600,1050,83,89,11.3,35,12995,67
"University of Washington",0,12749,7025,3343,40,81,20356,4582,8199,4218,708,2172,96,94,9,10,16527,65
"La Roche College",1,361,321,185,10,41,650,819,8842,4782,600,1100,57,73,14.2,14,7022,52
"Trinity College CT",1,3058,1798,478,46,84,1737,244,18810,5690,500,680,91,96,10.4,48,18034,91
"University of South Florida",0,7589,4676,1876,29,63,14770,10962,6760,3776,500,2180,84,89,17,7,11020,47
"Chatham College",1,212,197,91,28,56,471,148,13500,5230,400,850,95,98,9.3,37,16095,52
"University of Vermont",0,7663,6008,1735,18,51,7353,1674,15516,4928,500,990,87,90,9.9,10,12646,79
"Siena Heights College",1,464,419,183,10,31,686,287,9240,3880,475,1090,29,49,7.2,17,9431,47
"Georgetown University",1,11115,2881,1390,71,93,5881,406,18300,7131,670,1700,91,92,7.2,27,19635,95
"Pembroke State University",0,944,774,440,14,34,2174,529,6360,2760,550,1498,77,77,15,5,6443,48
"New Jersey Institute of Technology",0,1879,1216,483,27,62,3311,1646,8832,5376,700,1850,92,98,13.5,19,12529,72
"Whittier College",1,1681,1069,344,35,63,1235,30,16249,5699,500,1998,84,92,13.6,29,11778,52
"The Citadel",0,1500,1242,611,12,36,2024,292,7070,2439,400,779,95,94,17.1,17,7744,84
"SUNY College  at Brockport",0,7294,3564,904,7,34,5758,1363,6550,4460,500,705,79,83,19,14,6632,49
"Gordon College",1,674,565,282,25,54,1151,39,12200,4070,400,1200,73,82,14.2,32,9226,66
"Oglethorpe University",1,792,649,186,56,87,769,377,12900,4340,600,4110,91,95,13.1,27,8568,67
"Cazenovia College",1,3847,3433,527,9,35,1010,12,9384,4840,600,500,22,47,14.3,20,7697,118
"Oklahoma State University",0,4522,3913,2181,29,57,12830,1658,5336,3344,800,3100,84,92,15.3,14,6433,48
"West Chester University of Penn.",0,6502,3539,1372,11,51,7484,1904,7844,4108,400,2000,76,79,15.3,16,6773,52
"Centre College",1,1013,888,288,55,82,943,7,11850,4270,600,900,95,99,11.4,60,13118,74
"Hofstra University",1,7428,5860,1349,25,63,6534,1350,11600,5920,1000,1000,81,90,13.9,10,10093,60
"Alma College",1,1267,1080,385,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68
"SUNY College at Cortland",0,7888,3519,1036,6,40,5011,346,6550,4680,630,1274,82,85,17.8,17,5563,53
"Mary Baldwin College",1,499,441,199,26,52,846,377,11200,7400,600,1300,66,79,6.8,50,10819,90
"College of William and Mary",0,7117,3106,1217,68,88,5186,134,11720,4298,600,800,89,92,12.1,31,9534,93
"Lindenwood College",1,810,484,356,6,33,2155,191,9200,4800,1000,4200,65,85,24.1,9,3480,100
"St. John Fisher College",1,1368,1064,354,19,51,1687,677,10570,5600,400,800,86,81,14.5,29,7908,66
"Marian College of Fond du Lac",1,824,670,337,15,41,1160,653,9400,3400,500,1100,37,37,8.4,21,5352,59
"Geneva College",1,668,534,237,19,39,1306,258,9476,4820,500,1100,67,67,20.1,26,6786,74
"University of Wisconsin-Stout",0,2593,1966,1030,9,32,6038,579,6704,2592,376,1750,78,78,21,17,6254,65
"Marist College",1,4731,3171,830,12,31,3557,658,10700,5925,550,1200,74,81,17.6,34,8408,69
"Brigham Young University at Provo",1,7365,5402,4615,48,82,27378,1253,2340,3580,860,1220,76,76,20.5,40,7916,33
"Saint Joseph's University",1,2519,2003,776,39,71,2473,1314,12750,6350,350,1690,84,90,17.4,13,8243,83
"Catholic University of America",1,1754,1465,505,24,49,2159,211,13712,6408,526,1100,90,96,9.3,18,12751,75
"Connecticut College",1,3035,1546,438,42,93,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91
"Central Connecticut State University",0,4158,2532,902,6,24,6394,3881,5962,4444,500,985,69,73,16.7,4,4900,49
"La Salle University",1,2929,1834,622,20,56,2738,1662,12600,5610,450,3160,90,90,15.1,9,9084,84
"Immaculata College",1,268,253,103,16,44,494,1305,10000,5364,500,1000,56,64,11.2,33,7305,69
"Barnard College",1,2496,1402,531,53,95,2121,69,17926,8124,600,850,83,93,10.3,33,12580,91
"Rockhurst College",1,935,858,345,22,50,1127,754,9490,4100,500,1500,60,79,10.7,21,7519,79
"University of Evansville",1,2096,1626,694,35,67,2551,407,11800,4340,700,960,60,81,15.8,26,7780,77
"Illinois Benedictine College",1,607,558,269,22,47,1222,519,10500,4348,650,1500,81,91,11.6,29,8324,75
"Lander University",0,1166,1009,510,9,33,2074,341,4938,2987,528,1702,67,77,17,11,6119,51
"University of South Carolina at Aiken",0,848,560,377,14,24,1855,1412,5800,3066,500,1500,62,62,14.8,3,5035,48
"College of Saint Rose",1,983,664,249,23,57,1698,894,9990,5666,800,1500,66,71,14.3,28,6084,64
"Mount Holyoke College",1,1800,1314,526,47,79,1891,40,19300,5700,750,750,79,91,9,51,18359,84
"Seton Hill College",1,936,794,197,24,56,752,210,11240,4180,350,2000,71,71,11.2,37,10065,71
"Marietta College",1,1611,960,342,27,60,1089,210,13850,3920,470,810,80,97,13.2,30,10223,96
"Emporia State University",0,1256,1256,853,43,79,3957,588,5401,3144,450,1888,72,75,19.3,4,5527,50
"Talladega College",1,4414,1500,335,30,60,908,119,5666,2964,1000,1400,56,58,15.5,7,5970,46
"Columbia University",1,6756,1930,871,78,96,3376,55,18624,6664,550,300,97,98,5.9,21,30639,99
"Eastern College",1,458,369,165,16,42,1057,355,11190,4800,450,1230,60,60,13.6,22,8135,54
"Our Lady of the Lake University",1,2308,1336,295,22,46,1202,942,8530,3644,616,1576,56,64,14.9,25,7114,37
"Niagara University",1,2220,1796,467,65,99,1919,334,10320,4762,450,650,68,100,14.2,20,7788,65
"Elizabethtown College",1,2417,1843,426,36,70,1476,299,14190,4400,500,750,65,68,12.8,25,9815,81
"University of Michigan at Ann Arbor",0,19152,12940,4893,66,92,22045,1339,15732,4659,476,1600,90,98,11.5,26,14847,87
"University of Kansas",0,8579,5561,3681,25,50,17880,1673,6994,3384,700,2681,88,94,13.7,17,9657,57
"Hollins College",1,602,498,215,26,58,795,74,13470,5515,500,850,78,91,11.1,48,13957,72
"Millsaps College",1,905,834,319,32,61,1073,179,11320,4402,550,1350,82,89,12.7,38,11218,58
"SUNY College at Buffalo",0,5318,3515,1025,8,29,7626,2091,6550,4040,550,1230,71,78,18.7,12,7511,42
"University of Massachusetts at Amherst",0,14438,12414,3816,12,39,16282,1940,8566,3897,500,1400,88,92,16.7,15,10276,68
"University of North Carolina at Asheville",0,1757,979,394,32,74,2033,1078,5972,3420,600,750,77,83,13,11,7011,37
"Western Washington University",0,5548,3563,1549,30,71,8909,506,8124,4144,639,2385,83,89,22.7,10,7203,61
"Illinois Institute of Technology",1,1756,1360,478,42,77,1911,626,14550,4620,500,700,80,88,12.3,26,12851,56
"Washington College",1,1209,942,214,31,60,822,46,15276,5318,500,300,79,86,11.2,37,10830,65
"Florida International University",0,3306,2079,1071,42,89,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66
"Milwaukee School of Engineering",1,1217,1088,496,36,69,1773,884,11505,3255,1000,2075,35,46,16.7,23,7140,67
"University of Miami",1,7122,5386,1643,42,69,7760,876,16500,6526,630,1985,82,94,5.9,17,17500,59
"University of Maryland at Baltimore County",0,4269,2594,985,27,57,6476,2592,8594,4408,494,2768,82,88,18.4,6,7618,55
"University of Massachusetts at Dartmouth",0,3347,2597,1006,10,37,4664,1630,6919,4500,500,1250,74,90,15,20,7462,56
"Phillips University",1,692,576,174,19,50,597,83,10500,3860,600,940,58,64,11.6,19,8990,39
"Bennington College",1,519,327,114,25,53,457,2,21700,4100,600,500,35,59,10.1,33,16364,55
"Marshall University",1,4226,3666,2007,14,60,7703,2339,5094,4010,700,1560,77,86,16.6,10,6203,50
"Scripps College",1,855,632,139,60,83,569,7,17238,7350,600,800,95,100,8.2,41,18372,73
"Capital University",1,1747,1382,449,34,66,1662,960,13050,4000,500,800,64,69,12.1,27,9557,83
"Harvey Mudd College",1,1377,572,178,95,100,654,5,17230,6690,700,900,100,100,8.2,46,21569,100
"University of Oklahoma",0,4743,3970,2233,32,63,13436,2582,5173,3526,765,3176,86,90,11.5,11,10244,44
"Bloomsburg Univ. of Pennsylvania",0,6773,3028,1025,15,55,5847,946,7844,2948,500,1680,66,68,18,19,7041,75
"Seattle University",1,2115,1540,494,28,72,2993,347,12825,4375,500,1500,85,85,12.2,16,10175,89
"Texas Lutheran College",1,497,423,215,27,57,895,429,7850,3410,490,1700,54,58,13.8,24,7002,50
"Angelo State University",0,3540,2001,1016,24,54,4190,1512,5130,3592,500,2000,60,62,23.1,5,4010,34
"Concordia University",1,528,403,186,22,56,1168,145,9216,4191,400,1000,56,64,12.1,13,7309,75
"Santa Clara University",1,4019,2779,888,40,73,3891,128,13584,5928,630,1278,88,92,13.9,19,10872,100
"Vanderbilt University",1,7791,4690,1499,71,92,5500,90,17865,6525,630,952,93,98,5.8,26,23850,83
"Denison University",1,2762,2279,533,32,60,1835,14,16900,4720,500,600,88,97,11.6,45,12423,81
"Drew University",1,2153,1580,321,56,84,1192,87,18432,5616,520,660,93,97,10.2,28,14907,83
"Illinois State University",0,8681,6695,2408,10,35,15701,1823,7799,3403,537,2605,77,84,21,16,5569,54
"Purdue University at West Lafayette",0,21804,18744,5874,29,60,26213,4065,9556,3990,570,1060,86,86,18.2,15,8604,67
"University of California at Irvine",0,15698,10775,2478,85,100,12677,864,12024,5302,790,1818,96,96,16.1,11,15934,66
"College of Saint Benedict",1,938,864,511,29,62,1715,103,12247,4221,500,600,70,88,13.1,26,8847,72
"Randolph-Macon Woman's College",1,696,616,169,35,66,653,56,13970,6110,370,920,88,97,9.2,24,16358,68
"University of Richmond",1,5892,2718,756,46,72,2854,594,14500,3285,700,1125,75,89,11.7,32,11984,100
"Montreat-Anderson College",1,263,223,103,10,24,316,20,8438,3372,500,2958,42,50,11.1,4,11989,15
"Wofford College",1,1501,935,273,51,83,1059,34,12680,4150,605,1440,91,92,15.3,42,7875,75
"University of Georgia",0,11220,7871,3320,43,79,19553,2748,5697,3600,525,1755,88,95,14.7,22,7881,63
"Harvard University",1,13865,2165,1606,90,100,6862,320,18485,6410,500,1920,97,97,9.9,52,37219,100
"Saint Olaf College",1,2248,1673,745,38,73,2888,105,14350,3750,550,550,82,88,10,31,12502,83
"Whitman College",1,1861,998,359,45,77,1220,46,16670,4900,750,800,80,83,10.5,51,13198,72
"Hamilton College",1,3140,1783,454,40,82,1646,24,19700,5050,300,800,91,96,9.6,60,17761,91
"Worcester Polytechnic Institute",1,2768,2314,682,49,86,2802,86,15884,5370,530,730,92,94,15.2,34,10774,82
"Westminster College",1,996,866,377,29,58,1411,72,12065,3615,430,685,62,78,12.5,41,8596,80
"Hamline University",1,1006,825,328,34,73,1362,102,13252,4194,450,550,89,93,13,33,10296,65
"Christendom College",1,81,72,51,33,71,139,3,8730,3600,400,800,92,92,9.3,17,10922,58
"Oakland University",0,3041,2581,1173,16,56,6441,3982,9114,4030,400,650,88,90,19.7,13,6637,53
"University of Tennessee at Knoxville",0,7473,5372,3013,27,53,15749,3237,5764,3262,750,3300,86,92,16.5,22,8612,53
"Hardin-Simmons University",1,467,424,350,16,40,1365,334,6300,2980,700,2140,75,79,13.7,10,7054,38
"Seton Hall University",1,4576,3565,1000,16,36,4384,1530,12000,6484,650,1000,81,84,14.4,15,10080,64
"Belmont Abbey College",1,632,494,129,17,36,709,131,9000,4850,300,2480,78,85,13.2,10,7550,52
"University of North Carolina at Wilmington",0,6071,3856,1449,15,67,6635,1145,7558,3680,500,1500,82,85,19.1,15,6005,55
"College of St. Scholastica",1,672,596,278,29,60,1350,275,11844,3696,450,1146,54,76,11.6,33,8996,72
"Judson College",1,313,228,137,10,30,552,67,9414,4554,500,1700,34,55,10.6,30,7840,56
"Concordia Lutheran College",1,232,216,106,16,34,534,172,6900,3800,450,1825,67,76,12.1,9,6875,42
"Daniel Webster College",1,585,508,153,12,30,460,536,12292,4934,500,500,61,61,22.2,10,8643,72
"College of Saint Elizabeth",1,444,359,122,34,53,493,968,10900,5250,380,1000,68,70,11.4,23,9447,78
"Blackburn College",1,500,336,156,25,55,421,27,6500,2700,500,1000,76,76,14.3,53,8377,51
"Westfield State College",0,3100,2150,825,3,20,3234,941,5542,3788,500,1300,75,79,15.7,20,4222,65
"Goldey Beacom College",1,633,468,284,10,27,823,963,6120,2985,531,1830,25,25,27.6,4,6081,36
"Case Western Reserve University",1,3877,3156,713,71,93,3051,513,15700,4730,525,1460,95,95,2.9,29,19733,67
"University of Puget Sound",1,4044,2826,688,51,83,2738,138,16230,4500,630,1800,79,86,15,17,11217,63
"University of Louisville",0,4777,3057,1823,16,33,9844,6198,6540,3600,530,2440,84,92,11.1,24,10207,31
"Green Mountain College",1,780,628,198,7,20,545,42,11750,2700,400,850,77,83,14,24,6475,76
"Saint Anselm College",1,2095,1553,514,15,40,1873,94,12950,5400,450,1120,70,82,14.5,29,6719,97
"DePauw University",1,1994,1656,495,50,80,1983,36,14300,5020,550,950,78,94,11.1,31,11525,82
"Greensboro College",1,608,494,176,10,31,649,314,8330,3770,550,1300,64,80,13,31,7949,39
